EXPORTED CROSS SECTION DATA
504 2 2
x coordinate
Electron Conc
5.1200000000e-02 3.9694548065e+06 
5.1330000000e-02 3.9704664666e+06 
5.1350000000e-02 3.9706303491e+06 
5.1480000000e-02 3.9716876829e+06 
5.1500000000e-02 3.9718589052e+06 
5.1640000000e-02 3.9729638449e+06 
5.1660000000e-02 3.9731427097e+06 
5.1800000000e-02 3.9742972686e+06 
5.1820000000e-02 3.9744840939e+06 
5.1970000000e-02 3.9756903390e+06 
5.1990000000e-02 3.9758854489e+06 
5.2160000000e-02 3.9771455281e+06 
5.2170000000e-02 3.9773492577e+06 
5.2340000000e-02 3.9786653820e+06 
5.2360000000e-02 3.9788780787e+06 
5.2540000000e-02 3.9802525309e+06 
5.2560000000e-02 3.9804745501e+06 
5.2750000000e-02 3.9819096938e+06 
5.2770000000e-02 3.9821414001e+06 
5.2970000000e-02 3.9836396439e+06 
5.2990000000e-02 3.9838814141e+06 
5.3190000000e-02 3.9854452654e+06 
5.3220000000e-02 3.9856974832e+06 
5.3430000000e-02 3.9873294856e+06 
5.3460000000e-02 3.9875925438e+06 
5.3680000000e-02 3.9892953125e+06 
5.3710000000e-02 3.9895696133e+06 
5.3940000000e-02 3.9913458446e+06 
5.3970000000e-02 3.9916317959e+06 
5.4210000000e-02 3.9934842129e+06 
5.4240000000e-02 3.9937822311e+06 
5.4500000000e-02 3.9957136199e+06 
5.4530000000e-02 3.9960241252e+06 
5.4800000000e-02 3.9980373167e+06 
5.4830000000e-02 3.9983607334e+06 
5.5110000000e-02 4.0004586037e+06 
5.5150000000e-02 4.0007953622e+06 
5.5440000000e-02 4.0029807961e+06 
5.5480000000e-02 4.0033313237e+06 
5.5790000000e-02 4.0056072511e+06 
5.5820000000e-02 4.0059719772e+06 
5.6150000000e-02 4.0083413011e+06 
5.6190000000e-02 4.0087206510e+06 
5.6530000000e-02 4.0111863103e+06 
5.6570000000e-02 4.0115807032e+06 
5.6920000000e-02 4.0141455557e+06 
5.6960000000e-02 4.0145554028e+06 
5.7340000000e-02 4.0172223156e+06 
5.7380000000e-02 4.0176480158e+06 
5.7770000000e-02 4.0204197570e+06 
5.7820000000e-02 4.0208616922e+06 
5.8230000000e-02 4.0237409489e+06 
5.8270000000e-02 4.0241994815e+06 
5.8700000000e-02 4.0271888242e+06 
5.8750000000e-02 4.0276642895e+06 
5.9200000000e-02 4.0307661177e+06 
5.9250000000e-02 4.0312588195e+06 
5.9720000000e-02 4.0344753711e+06 
5.9780000000e-02 4.0349855777e+06 
6.0270000000e-02 4.0383188210e+06 
6.0330000000e-02 4.0388467491e+06 
6.0840000000e-02 4.0422983916e+06 
6.0900000000e-02 4.0428442104e+06 
6.1440000000e-02 4.0464156003e+06 
6.1510000000e-02 4.0469794099e+06 
